[W][16:27:10.077641] mod.rt       | [     module-rt.c:  330 translate_error()] RTKit error: org.freedesktop.DBus.Error.ServiceUnknown
[W][16:27:10.077671] mod.rt       | [     module-rt.c:  995 do_rtkit_setup()] RTKit does not give us MaxRealtimePriority, using 1
[E][16:27:10.077671] mod.protocol-native | [module-protocol-:  803 lock_socket()] server 0x56174c457f00: unable to lock lockfile '/run/user/1000/pipewire-0.lock': Resource temporarily unavailable (maybe another daemon is running)
[W][16:27:10.077715] mod.rt       | [     module-rt.c:  330 translate_error()] RTKit error: org.freedesktop.DBus.Error.ServiceUnknown
[W][16:27:10.077717] mod.rt       | [     module-rt.c: 1000 do_rtkit_setup()] RTKit does not give us MinNiceLevel, using 0
[E][16:27:10.077722] pw.conf      | [          conf.c:  602 load_module()] 0x56174c416380: could not load mandatory module "libpipewire-module-protocol-native": Resource temporarily unavailable
[W][16:27:10.077750] mod.rt       | [     module-rt.c:  330 translate_error()] RTKit error: org.freedesktop.DBus.Error.ServiceUnknown
[W][16:27:10.077752] mod.rt       | [     module-rt.c: 1005 do_rtkit_setup()] RTKit does not give us RTTimeUSecMax, using -1
[E][16:27:10.077829] default      | [      pipewire.c:  124 main()] failed to create context: Resource temporarily unavailable
[E][16:27:10.080308] mod.rt       | [     module-rt.c:  294 pw_rtkit_bus_get()] Failed to connect to session bus: Failed to connect to socket /tmp/dbus-rGRegUaFvX: No such file or directory
[W][16:27:10.080616] mod.rt       | [     module-rt.c:  330 translate_error()] RTKit error: org.freedesktop.DBus.Error.ServiceUnknown
[E][16:27:10.080622] mod.protocol-native | [module-protocol-:  803 lock_socket()] server 0x564824c55970: unable to lock lockfile '/run/user/1000/pipewire-0.lock': Resource temporarily unavailable (maybe another daemon is running)
[W][16:27:10.080626] mod.rt       | [     module-rt.c:  995 do_rtkit_setup()] RTKit does not give us MaxRealtimePriority, using 1
[E][16:27:10.080644] pw.conf      | [          conf.c:  602 load_module()] 0x564824c12380: could not load mandatory module "libpipewire-module-protocol-native": Resource temporarily unavailable
